ride_id,driver_id,user_id,city,ride_date,distance_km,fare_amount,ride_status,driver_rating,payment_mode,fare_per_km
R10032,D273,U048,Bengaluru,2025-09-25,4.5,615.49,Completed,4.0,UPI,136.77555555555557
R10033,D074,U624,Bengaluru,2025-09-23,6.95,404.22,Completed,3.4,Cash,58.161151079136694
R10034,D168,U297,Hyderabad,2025-07-20,1.69,595.54,Cancelled,4.0,UPI,352.3905325443787
R10035,D053,U096,Kochi,2025-07-02,18.35,703.16,Completed,4.2,Card,38.31934604904632
R10036,D134,U213,Bengaluru,2025-07-29,10.2,100.65,Cancelled,4.5,Cash,9.86764705882353
R10037,D161,U643,Kochi,2025-09-05,4.31,546.64,Completed,3.3,UPI,126.83062645011601
R10038,D031,U430,Hyderabad,2025-08-24,6.76,105.41,Completed,3.2,Card,15.59319526627219
R10039,D179,U568,Pune,2025-09-20,17.53,55.33,Completed,4.0,UPI,3.1563034797490013
R10040,D011,U567,Hyderabad,2025-07-15,10.6,585.0,Completed,3.4,UPI,55.18867924528302
R10041,D234,U693,Bengaluru,2025-07-29,10.59,93.5,Completed,3.9,Cash,8.829084041548631
R10042,D180,U313,Hyderabad,2025-08-04,9.53,412.2,Completed,4.6,UPI,43.25288562434418
R10043,D167,U337,Chennai,2025-08-02,15.59,738.3,Completed,3.2,UPI,47.35728030788967
R10044,D170,U003,Pune,2025-08-30,17.56,633.39,Cancelled,4.7,UPI,36.07004555808656
R10045,D279,U310,Hyderabad,2025-09-15,5.03,550.14,Completed,3.0,Card,109.37176938369781
R10046,D165,U206,Bengaluru,2025-08-08,19.05,226.58,Completed,4.6,UPI,11.893963254593176
R10047,D209,U239,Bengaluru,2025-07-31,11.91,125.97,Completed,3.9,UPI,10.57682619647355
R10048,D185,U241,Chennai,2025-08-01,19.79,104.67,Completed,3.3,Cash,5.289034866093987
R10049,D191,U171,Pune,2025-09-04,6.58,582.06,Completed,3.1,UPI,88.45896656534954
R10050,D190,U052,Chennai,2025-08-24,9.9,702.45,Completed,3.3,Card,70.95454545454545
R10051,D203,U035,Chennai,2025-08-18,9.48,361.33,Cancelled,4.8,UPI,38.11497890295358
R10052,D300,U424,Pune,2025-10-07,9.94,672.82,Cancelled,3.6,Cash,67.68812877263582
R10053,D140,U649,Pune,2025-08-19,11.54,446.49,Completed,4.5,UPI,38.690641247833625
R10054,D180,U400,Pune,2025-09-24,4.13,281.9,Cancelled,4.6,Cash,68.25665859564164
R10055,D273,U107,Kochi,2025-08-02,13.73,345.02,Completed,4.7,UPI,25.128914785142022
R10056,D028,U330,Kochi,2025-10-04,4.72,299.45,Completed,3.7,UPI,63.442796610169495
R10057,D270,U502,Kochi,2025-08-01,18.26,758.82,Completed,4.7,Cash,41.55640744797371
R10058,D273,U410,Hyderabad,2025-09-26,4.86,785.12,Completed,4.1,Card,161.54732510288065
R10059,D212,U285,Bengaluru,2025-08-25,10.63,634.0,Completed,4.9,UPI,59.64252116650987
R10060,D175,U057,Hyderabad,2025-08-01,7.15,514.55,Completed,4.3,Cash,71.96503496503496
R10061,D134,U600,Hyderabad,2025-08-23,8.86,693.61,Completed,3.2,Cash,78.28555304740406
R10062,D187,U291,Bengaluru,2025-08-11,14.66,513.57,Cancelled,3.4,Cash,35.032060027285134
R10063,D126,U751,Hyderabad,2025-07-08,1.26,492.29,Completed,4.0,UPI,390.7063492063492
R10064,D181,U331,Hyderabad,2025-10-09,4.38,229.84,Completed,4.2,UPI,52.47488584474886
R10065,D030,U397,Bengaluru,2025-08-31,17.47,598.73,Completed,4.5,Cash,34.27189467658844
R10066,D173,U413,Kochi,2025-09-21,5.14,689.89,Completed,3.2,Cash,134.21984435797665
R10067,D003,U303,Chennai,2025-08-20,17.46,320.1,Completed,4.2,UPI,18.333333333333332
R10068,D248,U208,Pune,2025-07-19,13.13,772.2,Completed,4.6,Card,58.81188118811881
R10069,D130,U504,Bengaluru,2025-09-11,3.97,246.27,Completed,3.5,Cash,62.032745591939545
R10070,D264,U008,Bengaluru,2025-09-03,19.62,117.05,Completed,3.1,Cash,5.96585117227319
R10071,D241,U610,Bengaluru,2025-08-20,18.4,335.78,Completed,3.6,Cash,18.24891304347826
R10072,D245,U448,Bengaluru,2025-07-26,2.44,436.36,Completed,3.4,Cash,178.8360655737705
R10073,D040,U611,Chennai,2025-09-08,13.22,695.4,Completed,4.0,UPI,52.602118003025716
R10074,D215,U498,Bengaluru,2025-09-17,18.27,563.8,Cancelled,4.7,Card,30.859332238642583
R10075,D137,U174,Pune,2025-09-07,3.89,490.21,Completed,4.5,Cash,126.01799485861181
R10076,D077,U083,Chennai,2025-07-10,10.09,198.21,Completed,4.1,UPI,19.644202180376613
R10077,D154,U210,Chennai,2025-08-27,4.64,461.93,Completed,4.5,Card,99.55387931034484
R10078,D250,U244,Hyderabad,2025-07-26,6.3,262.89,Completed,4.4,UPI,41.72857142857143
R10079,D103,U430,Hyderabad,2025-07-25,19.28,628.1,Completed,4.8,UPI,32.57780082987552
R10080,D295,U673,Hyderabad,2025-08-09,6.31,555.86,Completed,3.3,UPI,88.09191759112521
R10081,D300,U436,Bengaluru,2025-07-04,16.11,790.43,Completed,4.9,Card,49.06455617628802
R10082,D003,U774,Bengaluru,2025-09-05,2.08,196.78,Completed,4.6,UPI,94.60576923076923
R10083,D260,U623,Hyderabad,2025-09-15,2.27,304.92,Completed,4.2,UPI,134.32599118942733
R10084,D158,U727,Kochi,2025-10-08,9.33,149.31,Completed,3.6,UPI,16.0032154340836
R10085,D273,U039,Hyderabad,2025-09-30,15.04,139.93,Completed,3.6,UPI,9.303856382978724
R10086,D219,U354,Pune,2025-09-13,14.81,292.12,Completed,3.3,Card,19.724510465901417
R10087,D098,U368,Bengaluru,2025-07-26,3.34,269.26,Completed,3.0,UPI,80.61676646706587
R10088,D084,U460,Hyderabad,2025-08-02,13.1,635.51,Completed,4.0,Cash,48.512213740458016
R10089,D059,U590,Chennai,2025-08-01,3.62,540.39,Completed,3.0,UPI,149.27900552486187
R10090,D103,U741,Hyderabad,2025-09-05,9.62,264.79,Completed,3.2,UPI,27.524948024948028
R10091,D067,U336,Bengaluru,2025-08-06,16.13,148.6,Completed,4.7,Cash,9.21264724116553
R10092,D166,U468,Bengaluru,2025-08-04,15.47,674.52,Cancelled,3.1,Cash,43.601809954751126
R10093,D085,U616,Kochi,2025-08-04,12.21,724.93,Completed,3.1,UPI,59.371826371826366
R10094,D081,U759,Pune,2025-10-01,11.27,342.88,Completed,4.3,Cash,30.42413487133984
R10095,D014,U575,Pune,2025-07-15,13.04,635.23,Completed,4.5,Card,48.71395705521473
R10096,D097,U280,Hyderabad,2025-07-08,14.55,382.17,Completed,5.0,Card,26.265979381443298
R10097,D002,U442,Pune,2025-09-10,15.97,150.19,Completed,4.8,Cash,9.404508453350031
R10098,D214,U468,Kochi,2025-09-03,19.62,477.55,Completed,4.3,UPI,24.339959225280325
R10099,D168,U274,Kochi,2025-08-08,6.87,599.34,Completed,3.1,UPI,87.24017467248909
R10100,D233,U414,Chennai,2025-09-28,12.88,705.3,Completed,4.7,UPI,54.75931677018633
R10101,D014,U769,Chennai,2025-07-15,9.87,402.59,Completed,3.1,UPI,40.789260385005065
R10102,D093,U200,Pune,2025-08-25,2.21,611.96,Completed,3.5,Card,276.90497737556564
R10103,D088,U057,Bengaluru,2025-07-20,18.17,90.32,Completed,3.2,UPI,4.9708310401761135
R10104,D074,U294,Kochi,2025-08-16,17.41,55.07,Completed,4.2,Cash,3.163124641010913
R10105,D088,U227,Kochi,2025-09-06,3.08,284.6,Completed,4.5,UPI,92.40259740259741
R10106,D259,U568,Hyderabad,2025-07-28,1.95,109.05,Completed,4.9,Cash,55.92307692307692
R10107,D016,U734,Bengaluru,2025-07-26,19.84,275.36,Completed,4.8,UPI,13.879032258064518
R10108,D147,U552,Pune,2025-07-10,19.41,262.43,Completed,3.7,UPI,13.520350334878929
R10109,D128,U740,Hyderabad,2025-09-12,5.39,331.61,Completed,3.9,UPI,61.52319109461967
R10110,D039,U168,Hyderabad,2025-08-01,13.6,216.86,Completed,3.9,UPI,15.94558823529412
R10111,D065,U653,Chennai,2025-07-18,9.02,508.69,Completed,4.4,Cash,56.39578713968958
R10112,D016,U697,Hyderabad,2025-07-24,6.74,367.21,Completed,4.3,Cash,54.482195845697326
R10113,D220,U030,Chennai,2025-08-29,6.56,267.12,Completed,3.2,UPI,40.71951219512196
R10114,D196,U373,Kochi,2025-08-30,14.05,215.25,Cancelled,3.6,UPI,15.320284697508896
R10115,D236,U470,Kochi,2025-07-29,16.91,50.8,Completed,4.9,UPI,3.0041395623891187
R10116,D213,U154,Pune,2025-08-16,9.28,305.92,Completed,3.3,Card,32.96551724137932
R10117,D112,U566,Kochi,2025-09-20,2.14,269.32,Completed,3.3,Cash,125.85046728971962
R10118,D228,U263,Chennai,2025-08-06,11.31,157.84,Completed,3.2,Cash,13.95579133510168
R10119,D135,U304,Hyderabad,2025-07-21,11.86,390.88,Completed,4.6,UPI,32.95784148397976
R10120,D085,U638,Pune,2025-09-25,6.0,570.69,Completed,4.9,Cash,95.11500000000001
R10121,D157,U250,Chennai,2025-07-13,16.01,667.04,Completed,5.0,UPI,41.66396002498438
R10122,D034,U418,Hyderabad,2025-08-08,1.03,264.73,Completed,4.6,Cash,257.0194174757282
R10123,D240,U780,Bengaluru,2025-07-25,5.59,567.64,Completed,4.8,UPI,101.54561717352415
R10124,D040,U039,Bengaluru,2025-07-14,7.72,395.28,Completed,3.4,UPI,51.2020725388601
R10125,D145,U680,Pune,2025-08-16,17.44,299.32,Completed,4.8,Card,17.162844036697248
R10126,D208,U365,Pune,2025-07-08,15.86,550.02,Completed,3.2,UPI,34.6796973518285
R10127,D199,U114,Kochi,2025-10-06,11.74,420.32,Completed,3.4,UPI,35.80238500851789
R10128,D270,U014,Kochi,2025-08-11,17.45,291.65,Completed,4.1,UPI,16.7134670487106
R10129,D130,U758,Kochi,2025-07-13,11.43,793.21,Completed,4.7,UPI,69.39720034995626
R10130,D111,U632,Bengaluru,2025-10-01,4.19,640.28,Completed,3.0,Cash,152.81145584725536
R10131,D018,U034,Kochi,2025-09-12,3.54,143.67,Completed,3.3,Card,40.58474576271186
R10132,D276,U776,Hyderabad,2025-09-26,18.11,769.91,Completed,4.0,Cash,42.512976256212035
R10133,D088,U192,Pune,2025-08-28,10.57,477.49,Completed,3.6,UPI,45.17407757805109
R10134,D051,U488,Chennai,2025-10-09,3.59,225.82,Completed,4.8,Cash,62.902506963788305
R10135,D238,U554,Kochi,2025-10-09,6.0,552.32,Completed,4.6,Cash,92.05333333333334
R10136,D172,U035,Chennai,2025-08-22,1.29,92.52,Completed,4.9,UPI,71.72093023255813
R10137,D007,U044,Chennai,2025-07-11,13.84,211.45,Completed,3.8,UPI,15.278179190751445
R10138,D264,U047,Hyderabad,2025-09-19,18.93,519.65,Completed,4.4,UPI,27.451135763338616
R10139,D119,U530,Pune,2025-07-04,2.5,796.2,Completed,4.3,UPI,318.48
R10140,D223,U092,Chennai,2025-08-21,12.76,526.68,Completed,4.6,UPI,41.275862068965516
R10141,D097,U544,Kochi,2025-07-12,3.61,242.65,Completed,3.5,Card,67.21606648199446
R10142,D177,U560,Chennai,2025-09-11,15.37,328.48,Completed,3.6,UPI,21.371502927781396
R10143,D111,U737,Bengaluru,2025-07-04,16.94,133.86,Completed,3.9,Cash,7.902007083825266
R10144,D014,U585,Bengaluru,2025-07-20,7.75,698.37,Completed,4.7,Cash,90.11225806451613
R10145,D075,U469,Chennai,2025-07-21,8.85,639.48,Cancelled,4.1,UPI,72.25762711864407
R10146,D058,U787,Hyderabad,2025-07-09,9.97,650.64,Completed,4.5,Cash,65.25977933801404
R10147,D035,U248,Bengaluru,2025-07-05,18.55,626.71,Completed,3.8,UPI,33.78490566037736
R10148,D272,U120,Pune,2025-08-20,7.7,220.57,Completed,4.8,Cash,28.645454545454545
R10149,D112,U540,Chennai,2025-07-16,7.73,794.91,Completed,3.9,UPI,102.83441138421732
R10150,D123,U022,Hyderabad,2025-07-25,2.88,439.57,Completed,4.7,UPI,152.62847222222223
R10151,D095,U592,Kochi,2025-08-06,8.75,439.24,Completed,3.8,Cash,50.19885714285714
R10152,D245,U468,Hyderabad,2025-08-10,1.3,497.35,Completed,4.9,UPI,382.5769230769231
R10153,D182,U442,Kochi,2025-09-23,14.66,488.12,Cancelled,3.2,Cash,33.29604365620737
R10154,D221,U784,Kochi,2025-08-17,6.01,164.32,Completed,4.1,UPI,27.34109816971714
R10155,D292,U465,Hyderabad,2025-08-22,10.66,562.5,Completed,4.6,UPI,52.76735459662289
R10156,D042,U454,Bengaluru,2025-09-10,1.96,704.94,Cancelled,4.9,UPI,359.66326530612247
R10157,D091,U486,Hyderabad,2025-09-07,11.98,378.71,Completed,4.9,UPI,31.6118530884808
R10158,D253,U341,Chennai,2025-10-05,18.59,294.73,Cancelled,4.8,UPI,15.854222700376548
R10159,D252,U304,Hyderabad,2025-08-20,16.0,373.24,Completed,4.2,UPI,23.3275
R10160,D253,U135,Kochi,2025-07-31,2.99,345.15,Completed,3.3,Cash,115.43478260869564
R10161,D025,U430,Kochi,2025-07-25,11.85,702.57,Completed,4.0,UPI,59.288607594936714
R10162,D152,U331,Hyderabad,2025-09-02,4.04,534.7,Completed,4.6,UPI,132.35148514851485
R10163,D294,U406,Hyderabad,2025-08-15,16.58,559.17,Completed,4.0,Cash,33.725572979493364
R10164,D107,U528,Pune,2025-09-22,13.15,148.97,Completed,3.6,Cash,11.328517110266159
R10165,D033,U616,Chennai,2025-08-30,7.96,342.28,Completed,3.2,UPI,43.0
R10166,D027,U638,Chennai,2025-08-28,11.75,223.95,Completed,4.1,UPI,19.059574468085106
R10167,D275,U337,Bengaluru,2025-07-26,14.34,125.76,Completed,5.0,UPI,8.769874476987448
R10168,D252,U274,Pune,2025-08-31,15.06,454.58,Completed,4.2,Cash,30.184594953519255
R10169,D130,U132,Chennai,2025-08-27,9.88,563.51,Completed,4.0,UPI,57.03542510121457
R10170,D264,U233,Pune,2025-07-15,2.01,346.12,Completed,3.8,Card,172.1990049751244
R10171,D195,U705,Bengaluru,2025-07-13,16.42,737.45,Completed,3.8,Card,44.911693057247255
R10172,D055,U617,Chennai,2025-07-13,3.93,579.39,Completed,3.7,Cash,147.42748091603053
R10173,D122,U655,Chennai,2025-09-13,18.2,699.33,Completed,3.8,Cash,38.424725274725276
R10174,D037,U537,Kochi,2025-07-01,14.55,273.81,Completed,4.8,UPI,18.81855670103093
R10175,D225,U705,Bengaluru,2025-09-08,2.54,334.31,Completed,3.7,UPI,131.61811023622047
R10176,D143,U358,Bengaluru,2025-09-14,19.77,574.11,Completed,4.1,UPI,29.039453717754174
R10177,D178,U115,Bengaluru,2025-07-03,9.67,520.46,Completed,3.5,UPI,53.82213029989659
R10178,D064,U088,Kochi,2025-09-19,17.53,97.3,Completed,4.3,UPI,5.550484883057615
R10179,D006,U454,Pune,2025-07-15,15.91,251.38,Completed,4.9,UPI,15.80012570710245
R10180,D162,U542,Hyderabad,2025-10-05,1.01,301.94,Completed,4.1,Card,298.9504950495049
R10181,D028,U133,Bengaluru,2025-07-17,18.83,516.55,Completed,3.5,Cash,27.432288900690388
R10182,D240,U350,Bengaluru,2025-07-05,4.4,264.19,Completed,3.5,UPI,60.043181818181814
R10183,D259,U191,Kochi,2025-07-01,12.1,743.07,Completed,3.5,UPI,61.4107438016529
R10184,D038,U494,Pune,2025-08-30,4.71,626.14,Completed,4.6,Cash,132.9384288747346
R10185,D188,U236,Pune,2025-07-16,13.71,301.45,Completed,4.1,UPI,21.98760029175784
R10186,D270,U652,Chennai,2025-07-25,13.56,750.35,Completed,3.0,Cash,55.33554572271387
R10187,D276,U161,Kochi,2025-09-03,17.59,682.97,Completed,3.6,UPI,38.82717453098351
R10188,D027,U020,Hyderabad,2025-09-25,15.09,147.39,Completed,3.5,Cash,9.767395626242545
R10189,D249,U274,Pune,2025-09-17,14.07,274.14,Completed,4.1,UPI,19.484008528784646
R10190,D176,U683,Hyderabad,2025-09-01,17.14,736.58,Completed,3.2,UPI,42.97432905484248
R10191,D157,U765,Chennai,2025-08-12,7.09,212.58,Completed,3.8,Cash,29.983074753173486
R10192,D170,U587,Pune,2025-07-14,16.98,197.87,Completed,3.7,UPI,11.653121319199057
R10193,D062,U368,Kochi,2025-07-04,19.89,755.84,Completed,4.5,UPI,38.001005530417295
R10194,D245,U603,Chennai,2025-09-26,17.02,726.67,Completed,3.5,UPI,42.69506462984724
R10195,D241,U584,Chennai,2025-08-03,16.72,542.44,Completed,4.4,UPI,32.44258373205742
R10196,D081,U014,Kochi,2025-08-15,17.27,746.63,Completed,4.7,UPI,43.23277359583092
R10197,D248,U199,Pune,2025-09-06,8.42,434.8,Cancelled,4.7,UPI,51.63895486935867
R10198,D206,U213,Pune,2025-10-03,4.5,463.62,Completed,5.0,Cash,103.02666666666667
R10199,D280,U588,Pune,2025-10-09,14.69,594.39,Completed,5.0,Cash,40.46221919673247
R10200,D260,U582,Pune,2025-09-22,10.04,792.06,Completed,4.4,Cash,78.89043824701196
R10201,D040,U406,Chennai,2025-08-21,17.34,218.62,Cancelled,4.6,UPI,12.607843137254902
R10202,D267,U795,Kochi,2025-10-09,4.39,85.05,Completed,4.9,UPI,19.373576309794988
R10203,D241,U027,Hyderabad,2025-08-01,17.28,786.18,Completed,4.9,Cash,45.49652777777777
R10204,D291,U379,Pune,2025-09-14,18.76,66.78,Completed,4.0,Cash,3.559701492537313
R10205,D135,U483,Chennai,2025-10-07,2.28,413.65,Completed,3.4,UPI,181.42543859649123
R10206,D189,U171,Hyderabad,2025-09-08,15.39,768.59,Completed,4.7,UPI,49.94087069525666
R10207,D203,U262,Bengaluru,2025-07-16,9.53,476.34,Completed,3.9,UPI,49.983210912906614
R10208,D094,U008,Pune,2025-07-10,5.82,160.71,Completed,4.7,Cash,27.61340206185567
R10209,D032,U439,Bengaluru,2025-08-18,5.28,197.48,Completed,3.8,UPI,37.40151515151515
R10210,D135,U324,Hyderabad,2025-09-13,9.1,126.89,Completed,3.8,UPI,13.943956043956044
R10211,D032,U297,Pune,2025-08-17,12.6,132.94,Completed,3.9,UPI,10.55079365079365
R10212,D203,U398,Pune,2025-08-11,6.21,647.09,Cancelled,4.6,Cash,104.20128824476652
R10213,D275,U245,Pune,2025-08-19,4.54,386.93,Completed,4.2,Cash,85.22687224669603
R10214,D283,U690,Bengaluru,2025-07-25,3.34,62.21,Completed,4.6,UPI,18.625748502994014
R10215,D064,U655,Pune,2025-07-01,8.88,174.42,Completed,4.0,UPI,19.641891891891888
R10216,D255,U319,Bengaluru,2025-09-11,2.74,230.28,Completed,3.5,UPI,84.04379562043795
R10217,D235,U141,Pune,2025-08-10,9.9,769.42,Completed,3.6,Cash,77.71919191919191
R10218,D144,U414,Hyderabad,2025-08-04,4.79,770.14,Completed,3.8,Card,160.78079331941544
R10219,D199,U460,Hyderabad,2025-09-25,14.91,747.32,Completed,4.0,UPI,50.122065727699535
R10220,D077,U713,Pune,2025-08-19,11.1,589.27,Completed,4.3,UPI,53.08738738738739
R10221,D162,U696,Pune,2025-07-22,14.36,599.0,Completed,3.9,UPI,41.713091922005574
R10222,D239,U366,Hyderabad,2025-10-01,15.43,482.77,Completed,4.7,UPI,31.287751134154245
R10223,D217,U331,Kochi,2025-09-30,10.66,732.74,Completed,4.3,UPI,68.73733583489681
R10224,D290,U018,Chennai,2025-09-18,7.42,563.04,Completed,3.5,UPI,75.88140161725067
R10225,D228,U654,Bengaluru,2025-08-25,17.22,753.78,Completed,4.4,Cash,43.77351916376307
R10226,D167,U678,Kochi,2025-07-08,6.83,167.81,Completed,4.3,UPI,24.569546120058565
R10227,D259,U183,Chennai,2025-09-18,2.36,98.07,Completed,3.1,UPI,41.55508474576271
R10228,D096,U434,Bengaluru,2025-07-02,8.3,553.69,Completed,3.9,UPI,66.70963855421687
R10229,D158,U149,Pune,2025-10-01,10.04,422.66,Completed,3.4,UPI,42.097609561752996
R10230,D247,U466,Pune,2025-07-20,1.6,481.86,Completed,3.3,UPI,301.16249999999997
R10231,D125,U656,Hyderabad,2025-10-04,2.03,759.61,Completed,3.1,UPI,374.19211822660105
R10232,D241,U015,Kochi,2025-10-08,18.06,577.67,Completed,4.4,UPI,31.986157253599114
R10233,D207,U780,Kochi,2025-10-09,5.49,65.1,Completed,3.8,Cash,11.857923497267757
R10234,D175,U699,Bengaluru,2025-09-29,11.45,103.2,Completed,3.4,Cash,9.013100436681224
R10235,D069,U405,Chennai,2025-09-03,5.63,772.25,Cancelled,3.8,Cash,137.1669626998224
R10236,D181,U594,Chennai,2025-07-24,8.54,370.57,Completed,3.6,Cash,43.39227166276347
R10237,D083,U461,Pune,2025-08-22,16.48,196.89,Completed,3.1,Cash,11.947208737864077
R10238,D181,U275,Bengaluru,2025-08-24,1.86,575.09,Completed,3.8,Cash,309.18817204301075
R10239,D216,U686,Pune,2025-07-02,18.69,796.13,Completed,3.4,UPI,42.596575708935255
R10240,D053,U359,Pune,2025-08-31,13.25,258.88,Completed,3.8,UPI,19.53811320754717
R10241,D210,U301,Bengaluru,2025-08-13,9.62,519.36,Completed,3.5,UPI,53.98752598752599
R10242,D204,U400,Pune,2025-09-23,6.18,716.75,Completed,3.5,UPI,115.9789644012945
R10243,D111,U353,Hyderabad,2025-08-27,19.22,604.82,Completed,3.5,Cash,31.468262226847038
R10244,D100,U619,Pune,2025-10-03,17.39,564.52,Completed,3.2,Cash,32.46233467510063
R10245,D004,U797,Kochi,2025-08-14,1.58,717.03,Completed,4.1,UPI,453.81645569620247
R10246,D005,U524,Chennai,2025-08-03,5.81,684.25,Completed,4.3,Card,117.77108433734941
R10247,D237,U765,Chennai,2025-07-10,15.18,327.89,Completed,3.7,UPI,21.600131752305664
R10248,D291,U036,Hyderabad,2025-09-15,11.18,238.4,Completed,4.6,UPI,21.323792486583184
R10249,D124,U758,Bengaluru,2025-08-02,1.38,737.31,Cancelled,4.1,Cash,534.2826086956521
R10250,D289,U070,Pune,2025-07-28,8.99,574.02,Cancelled,4.5,Cash,63.850945494994434
R10251,D177,U471,Bengaluru,2025-07-17,12.16,312.59,Completed,5.0,Cash,25.70641447368421
R10252,D269,U480,Bengaluru,2025-09-06,3.21,693.39,Completed,3.1,UPI,216.00934579439252
R10253,D263,U053,Pune,2025-07-19,6.87,576.89,Completed,3.5,UPI,83.97234352256186
R10254,D062,U257,Kochi,2025-07-16,3.01,141.21,Completed,4.2,UPI,46.91362126245848
R10255,D050,U452,Hyderabad,2025-07-11,10.17,746.96,Completed,3.5,UPI,73.44739429695183
R10256,D268,U627,Bengaluru,2025-07-20,13.76,463.85,Completed,3.8,Cash,33.710029069767444
R10257,D232,U250,Kochi,2025-08-22,1.16,244.45,Completed,3.6,Card,210.73275862068965
R10258,D152,U511,Chennai,2025-08-25,8.14,419.55,Completed,3.3,Card,51.54176904176904
R10259,D190,U648,Kochi,2025-09-26,1.63,613.8,Completed,3.1,Card,376.5644171779141
R10260,D275,U445,Kochi,2025-07-03,11.13,723.09,Completed,4.4,Cash,64.96765498652292
R10261,D008,U426,Chennai,2025-09-09,5.16,353.96,Completed,3.2,UPI,68.5968992248062
R10262,D202,U678,Kochi,2025-07-03,6.42,80.69,Completed,4.9,UPI,12.56853582554517
R10263,D222,U196,Hyderabad,2025-08-22,7.0,369.6,Completed,4.5,UPI,52.800000000000004
R10264,D083,U125,Bengaluru,2025-09-25,11.79,253.99,Completed,4.1,UPI,21.542832909245124
R10265,D037,U684,Pune,2025-09-16,15.69,660.17,Completed,4.3,Cash,42.07584448693435
R10266,D202,U277,Kochi,2025-07-16,15.92,624.18,Cancelled,5.0,UPI,39.2072864321608
R10267,D096,U039,Hyderabad,2025-09-18,18.22,311.11,Completed,4.3,Cash,17.07519209659715
R10268,D182,U798,Kochi,2025-10-02,13.77,89.87,Completed,4.8,Cash,6.526506899055919
R10269,D157,U752,Kochi,2025-09-13,9.81,148.86,Completed,4.2,UPI,15.174311926605505
R10270,D078,U225,Kochi,2025-09-17,15.81,429.79,Completed,3.1,UPI,27.18469323213156
R10271,D131,U771,Pune,2025-07-18,13.93,208.26,Completed,4.9,Cash,14.950466618808328
R10272,D223,U730,Pune,2025-10-09,8.69,507.34,Cancelled,3.3,Cash,58.38204833141542
R10273,D089,U596,Chennai,2025-08-09,10.04,212.98,Completed,4.1,Card,21.213147410358566
