ride_id,driver_id,user_id,city,ride_date,distance_km,fare_amount,ride_status,driver_rating,payment_mode
R10230,D247,U466,Pune,2025-07-20,1.6,481.86,Completed,3.3,UPI
R10231,D125,U656,Hyderabad,2025-10-04,2.03,759.61,Completed,3.1,UPI
R10232,D241,U015,Kochi,2025-10-08,18.06,577.67,Completed,4.4,UPI
R10233,D207,U780,Kochi,2025-10-09,5.49,65.1,Completed,3.8,Cash
R10234,D175,U699,Bengaluru,2025-09-29,11.45,103.2,Completed,3.4,Cash
R10235,D069,U405,Chennai,2025-09-03,5.63,772.25,Cancelled,3.8,Cash
R10236,D181,U594,Chennai,2025-07-24,8.54,370.57,Completed,3.6,Cash
R10237,D083,U461,Pune,2025-08-22,16.48,196.89,Completed,3.1,Cash
R10238,D181,U275,Bengaluru,2025-08-24,1.86,575.09,Completed,3.8,Cash
R10239,D216,U686,Pune,2025-07-02,18.69,796.13,Completed,3.4,UPI
R10240,D053,U359,Pune,2025-08-31,13.25,258.88,Completed,3.8,UPI
R10241,D210,U301,Bengaluru,2025-08-13,9.62,519.36,Completed,3.5,UPI
R10242,D204,U400,Pune,2025-09-23,6.18,716.75,Completed,3.5,UPI
R10243,D111,U353,Hyderabad,2025-08-27,19.22,604.82,Completed,3.5,Cash
R10244,D100,U619,Pune,2025-10-03,17.39,564.52,Completed,3.2,Cash
R10245,D004,U797,Kochi,2025-08-14,1.58,717.03,Completed,4.1,UPI
R10246,D005,U524,Chennai,2025-08-03,5.81,684.25,Completed,4.3,Card
R10247,D237,U765,Chennai,2025-07-10,15.18,327.89,Completed,3.7,UPI
R10248,D291,U036,Hyderabad,2025-09-15,11.18,238.4,Completed,4.6,UPI
R10249,D124,U758,Bengaluru,2025-08-02,1.38,737.31,Cancelled,4.1,Cash
R10250,D289,U070,Pune,2025-07-28,8.99,574.02,Cancelled,4.5,Cash
R10251,D177,U471,Bengaluru,2025-07-17,12.16,312.59,Completed,5.0,Cash
R10252,D269,U480,Bengaluru,2025-09-06,3.21,693.39,Completed,3.1,UPI
R10253,D263,U053,Pune,2025-07-19,6.87,576.89,Completed,3.5,UPI
R10254,D062,U257,Kochi,2025-07-16,3.01,141.21,Completed,4.2,UPI
R10255,D050,U452,Hyderabad,2025-07-11,10.17,746.96,Completed,3.5,UPI
R10256,D268,U627,Bengaluru,2025-07-20,13.76,463.85,Completed,3.8,Cash
R10257,D232,U250,Kochi,2025-08-22,1.16,244.45,Completed,3.6,Card
R10258,D152,U511,Chennai,2025-08-25,8.14,419.55,Completed,3.3,Card
R10259,D190,U648,Kochi,2025-09-26,1.63,613.8,Completed,3.1,Card
R10260,D275,U445,Kochi,2025-07-03,11.13,723.09,Completed,4.4,Cash
R10261,D008,U426,Chennai,2025-09-09,5.16,353.96,Completed,3.2,UPI
R10262,D202,U678,Kochi,2025-07-03,6.42,80.69,Completed,4.9,UPI
R10263,D222,U196,Hyderabad,2025-08-22,7.0,369.6,Completed,4.5,UPI
R10264,D083,U125,Bengaluru,2025-09-25,11.79,253.99,Completed,4.1,UPI
R10265,D037,U684,Pune,2025-09-16,15.69,660.17,Completed,4.3,Cash
R10266,D202,U277,Kochi,2025-07-16,15.92,624.18,Cancelled,5.0,UPI
R10267,D096,U039,Hyderabad,2025-09-18,18.22,311.11,Completed,4.3,Cash
R10268,D182,U798,Kochi,2025-10-02,13.77,89.87,Completed,4.8,Cash
R10269,D157,U752,Kochi,2025-09-13,9.81,148.86,Completed,4.2,UPI
R10270,D078,U225,Kochi,2025-09-17,15.81,429.79,Completed,3.1,UPI
R10271,D131,U771,Pune,2025-07-18,13.93,208.26,Completed,4.9,Cash
R10272,D223,U730,Pune,2025-10-09,8.69,507.34,Cancelled,3.3,Cash
R10273,D089,U596,Chennai,2025-08-09,10.04,212.98,Completed,4.1,Card
R10274,D241,U423,Hyderabad,2025-08-02,12.14,75.01,Cancelled,3.7,UPI
R10275,D083,U327,Kochi,2025-10-05,9.8,704.07,Completed,4.9,UPI
R10276,D136,U346,Bengaluru,2025-07-24,13.43,574.14,Completed,4.9,Cash
R10277,D122,U403,Bengaluru,2025-07-16,12.44,195.13,Cancelled,3.9,UPI
R10278,D088,U153,Hyderabad,2025-08-01,12.39,239.19,Completed,3.5,UPI
R10279,D249,U045,Bengaluru,2025-09-21,8.21,441.44,Completed,3.4,UPI
R10280,D268,U499,Bengaluru,2025-07-01,19.45,86.14,Completed,4.8,UPI
R10281,D210,U188,Kochi,2025-08-23,1.12,197.96,Completed,4.1,Cash
R10282,D171,U007,Hyderabad,2025-07-23,1.69,576.73,Completed,3.8,UPI
R10283,D070,U158,Pune,2025-07-03,10.68,326.15,Completed,4.6,Card
R10284,D171,U124,Pune,2025-09-21,17.78,110.14,Completed,3.7,UPI
R10285,D013,U184,Hyderabad,2025-10-08,9.22,666.22,Completed,3.5,UPI
R10286,D209,U650,Bengaluru,2025-09-05,5.73,557.9,Completed,3.0,UPI
R10287,D125,U508,Hyderabad,2025-10-04,12.82,554.85,Completed,4.1,Cash
R10288,D021,U316,Bengaluru,2025-08-25,19.49,674.88,Completed,3.3,Cash
R10289,D137,U375,Hyderabad,2025-09-28,13.38,530.12,Completed,4.4,Cash
R10290,D075,U580,Pune,2025-07-19,15.91,518.21,Completed,3.5,UPI
R10291,D219,U621,Hyderabad,2025-08-12,9.02,165.09,Completed,3.9,UPI
R10292,D163,U679,Bengaluru,2025-08-13,16.19,681.86,Completed,4.5,Cash
R10293,D216,U606,Hyderabad,2025-08-18,9.44,492.92,Completed,4.2,UPI
R10294,D206,U286,Chennai,2025-09-10,11.61,556.18,Completed,3.9,UPI
R10295,D051,U750,Bengaluru,2025-09-17,19.12,643.63,Completed,3.1,UPI
R10296,D203,U335,Pune,2025-07-10,11.69,577.39,Completed,4.2,UPI
R10297,D235,U332,Chennai,2025-08-05,5.13,374.2,Completed,3.0,UPI
R10298,D052,U500,Chennai,2025-10-03,16.21,739.06,Completed,4.6,UPI
R10299,D205,U176,Chennai,2025-08-06,14.59,141.13,Completed,4.6,Cash
R10300,D144,U129,Chennai,2025-07-28,18.27,370.12,Completed,3.2,UPI
R10301,D264,U487,Bengaluru,2025-08-13,16.62,118.83,Completed,4.7,UPI
R10302,D198,U024,Chennai,2025-07-09,7.3,440.89,Completed,3.4,UPI
R10303,D225,U227,Kochi,2025-08-01,17.35,741.64,Completed,4.7,Cash
R10304,D144,U481,Kochi,2025-07-27,19.14,649.42,Completed,4.9,Cash
R10305,D052,U179,Bengaluru,2025-07-29,2.8,461.95,Completed,4.3,UPI
R10306,D158,U233,Pune,2025-09-14,7.78,270.8,Completed,4.9,UPI
R10307,D239,U629,Chennai,2025-08-17,9.39,782.32,Completed,3.6,UPI
R10308,D123,U404,Pune,2025-10-04,18.57,510.83,Completed,4.7,Cash
R10309,D244,U487,Kochi,2025-07-31,19.75,498.48,Completed,4.3,UPI
R10310,D092,U432,Chennai,2025-09-18,17.91,405.08,Completed,3.7,UPI
R10311,D257,U322,Kochi,2025-08-21,5.16,689.72,Cancelled,4.2,UPI
R10312,D125,U487,Kochi,2025-08-14,7.83,142.75,Completed,3.3,Card
R10313,D108,U079,Bengaluru,2025-08-24,3.57,186.91,Completed,4.6,Cash
R10314,D167,U156,Kochi,2025-07-25,17.91,228.24,Completed,3.4,UPI
R10315,D139,U199,Kochi,2025-07-30,11.42,96.54,Completed,3.7,UPI
R10316,D200,U795,Hyderabad,2025-10-09,17.23,338.65,Cancelled,4.1,UPI
R10317,D130,U452,Kochi,2025-08-01,8.1,453.17,Completed,3.8,UPI
R10318,D236,U778,Bengaluru,2025-07-04,4.94,519.22,Completed,3.8,Card
R10319,D228,U242,Kochi,2025-09-26,14.39,439.14,Completed,4.5,UPI
R10320,D258,U081,Chennai,2025-08-07,16.68,456.49,Cancelled,4.7,UPI
R10321,D016,U411,Bengaluru,2025-07-29,14.45,558.68,Completed,4.0,UPI
R10322,D282,U131,Chennai,2025-09-05,1.83,729.02,Completed,4.4,UPI
R10323,D077,U037,Kochi,2025-08-08,7.98,337.91,Completed,4.2,UPI
R10324,D197,U575,Bengaluru,2025-07-30,2.28,499.97,Completed,4.1,UPI
